Symbol,RMSE,MAE,R2,Explained_Variance,MSLE,Pearson_r,sMAPE(%),FinalAcc(%),lookback,lr,dropout,units_1,units_2
EICHERMOT.NS,152.16503107874033,111.03440163352269,0.957293006491548,0.9619835489164357,0.0007497186064773493,0.982222300492976,1.99090515012375,98.00909484987625,30,0.0002,0.2,128,64
BRITANNIA.NS,136.60156718400668,105.0767888663703,0.9197978411243491,0.9291240582199264,0.0006157361896888447,0.966510932467104,1.9429964606895622,98.05700353931044,45,0.0002,0.3,32,64
HEROMOTOCO.NS,140.96274701509972,117.90386622351127,0.9528977835695939,0.9589871597800601,0.001147332156877789,0.9860144961041846,2.7761048100031984,97.2238951899968,75,0.001,0.1,64,64
ASIANPAINT.NS,45.09463536966684,36.11588300284693,0.8519592595476347,0.8519592990837783,0.0003575399402199905,0.9240213810018865,1.5223860767648267,98.47761392323517,60,0.001,0.3,128,16
CIPLA.NS,27.513030303649717,21.675945217326536,0.7181660813673191,0.7190882733907791,0.00033752300071333916,0.8493740226733282,1.451183303619086,98.54881669638091,60,0.001,0.3,64,64
ULTRACEMCO.NS,228.2930755512806,174.64845818988348,0.8676930910576113,0.8760360969884216,0.0003981639822130437,0.936985627478164,1.5082468624518368,98.49175313754816,60,0.001,0.1,128,64
INFY.NS,39.08940067419192,31.587264950804133,0.9414401022367599,0.9632500378390487,0.0005890992732375056,0.9820589675049273,1.9761151278756999,98.0238848721243,45,0.001,0.1,128,32
DRREDDY.NS,27.917896807834232,22.375739061682793,0.8230608419011695,0.8677062629751878,0.0005119807311037741,0.9315541004529825,1.8171442656346921,98.1828557343653,45,0.001,0.2,64,64
ADANIPORTS.NS,53.222605690462444,44.525863388837394,0.838094989240428,0.9339430124448704,0.001696568463543274,0.9683937711804016,3.4520780908134236,96.54792190918657,60,0.0005,0.1,64,32
MARUTI.NS,308.30695682217345,228.95167257018016,0.9662544820974763,0.9723110551908131,0.0005356339977335928,0.9878438887954604,1.7384813039395584,98.26151869606043,60,0.0005,0.2,128,64
COALINDIA.NS,8.640887614669607,6.653226949400821,0.497080529716582,0.6230697389188276,0.0005647002966407575,0.8035457286991036,1.816937936534392,98.18306206346561,60,0.001,0.1,32,16
AXISBANK.NS,34.28354311846291,26.255448422189485,0.8116098328669449,0.8388218113811028,0.000920483626700908,0.9268444676211978,2.3358140730031343,97.66418592699686,60,0.0005,0.1,64,16
HCLTECH.NS,51.78501567937505,42.23096908110917,0.8592961548643823,0.8860785507144082,0.0010895825268159261,0.9415210947559112,2.680706159447281,97.31929384055272,75,0.0002,0.1,128,32
SUNPHARMA.NS,41.84501642815731,34.131290241823365,0.6313992426140955,0.7032435231323829,0.0006001749903590828,0.8388618865850321,2.011578208958421,97.98842179104157,60,0.0005,0.3,32,32
RELIANCE.NS,33.344416051290196,25.99624391180701,0.8837756846993956,0.8876709084237446,0.000628726845273269,0.9426904084615313,1.9432840061140555,98.05671599388594,45,0.0002,0.3,64,64
HDFCBANK.NS,12.862963892832619,10.333728128228302,0.9563132107429652,0.9709012745095286,0.00019789539627678056,0.9853752071676776,1.1263137174188678,98.87368628258113,30,0.001,0.1,64,32
WIPRO.NS,5.5405284718746906,4.189793351305079,0.9389086232152898,0.9412184078870873,0.00044031138172059625,0.9714707076527407,1.597148934323675,98.40285106567633,45,0.001,0.3,128,32
KOTAKBANK.NS,37.03312781009136,26.178879486467046,0.9287731419020079,0.9348817891359483,0.0003317310438326623,0.9676673001130793,1.2982135603828655,98.70178643961714,45,0.001,0.3,64,32
ICICIBANK.NS,43.14829545663161,33.90369812516141,0.70637935979901,0.8451317417785424,0.0010337556354132267,0.9193317003705501,2.528590755874683,97.47140924412531,30,0.0002,0.3,32,64
ONGC.NS,6.805598282829226,5.360310325937823,0.3755435047352734,0.41995793078755705,0.0007871283127322846,0.6500064532525572,2.2210210069966383,97.77897899300336,30,0.0002,0.2,32,64
